user_id,degree_slope,degree_std,degree_mean,degree_last,degree_active_months,degree_early_peak
0x0001675DF6B94d354818BD6DdB6FE2695Bbfce1D,-6.749942977481575e-05,0.00019091721807998948,0.00016729860115169868,3.229974160206718e-05,2.0,0.0
0x00036d3df07bA5d3EC5ed4aA87d15AcAE5FB00F0,-4.355706986746844e-05,0.00021960634229866992,0.0001617173089936156,3.229974160206718e-05,5.0,1.0
0x0003dBe134FF070E07E2A286Fa6532C6F0140429,-2.038685425250207e-05,7.786546449323283e-05,9.083426020241664e-05,3.229974160206718e-05,5.0,0.0
0x00051a513042bcd7eAfF2c6488a2eE0dBfD01625,-1.0519828873297921e-05,4.56675357252082e-05,5.66037475173487e-05,3.229974160206718e-05,3.0,0.0
0x0005a5bC0fB4100Bb887D2C8421c48FA75C68477,-3.977279423936804e-05,0.00018340064160070015,0.000179368388681176,3.229974160206718e-05,7.0,1.0
0x000740f81d8Ffddd847109a9c9113a9Cab987AFF,-0.0004331801365758519,0.0012911157402550216,0.0015507202463205694,0.0013565891472868217,6.0,0.0
0x00077F67C44fED2645f2F1F14E2f53eEa2985f89,-1.5698019845812013e-05,8.135280910654126e-05,8.778083897884117e-05,0.0,3.0,1.0
0x000809f9a9510fA09e765A821Ae304414D3F374D,-9.059987523264482e-06,4.5446981085034574e-05,6.654130347989699e-05,0.0,3.0,1.0
0x0008Cb8E2aF7f1e97EE572dAED2638d121932A14,-0.00016624808185567295,0.00031310975881380503,0.0002752126994766873,6.459948320413436e-05,4.0,0.0
0x000CE8652c1a20E0967d8CE70FC258ad237C2fB3,-6.283752162822574e-05,0.00017200653210596603,0.0001433766330596082,3.229974160206718e-05,4.0,0.0
0x000EF47DB80359855bb6AFE00232a36f7c1Ba178,-0.0002684937648132869,0.0010164260205660065,0.001563071716852808,0.0003875968992248062,9.0,0.0
0x000a5d8Cf590317Ad3762646A3f88cF95bC368aD,-9.059987523264482e-06,4.5446981085034574e-05,6.654130347989699e-05,0.0,3.0,1.0
0x00114e4ba415D30DEcc0d8F099FE244f5cFE933a,-3.175508346194229e-05,0.00011227117426542091,0.00010761556390241403,0.0,2.0,0.0
0x001484BA4b97390a7d4Dc7933A510704647D7681,-1.887007733005515e-05,0.00011361825794432532,0.00013836814363373952,3.229974160206718e-05,7.0,1.0
0x00163c27B316ef19974236396b755884786e60E2,-9.059987523264482e-06,4.5446981085034574e-05,6.654130347989699e-05,0.0,3.0,1.0
0x00189470f8A415546AddD7c264EC0CbB5C88dECC,-1.0931018431966622e-05,6.642687739414866e-05,8.530182443604469e-05,3.229974160206718e-05,4.0,0.0
0x00191D4baca8ED9D8Fe5983610e6002936A79157,-1.6104637147822644e-05,0.00010811974830561153,0.00011629274699864675,3.229974160206718e-05,5.0,1.0
0x001c1dd54Bf28ebCC5aC3D8FEe228d04F5Fe3581,-6.841891203401109e-05,0.0001340804868438282,0.00010138500515062815,3.229974160206718e-05,4.0,0.0
0x001fc441577436e96b240763083AC967E06AD95D,-5.384025005110286e-05,0.00033047658413957537,0.00023116291174076254,3.229974160206718e-05,6.0,1.0
0x001fedf3bfE357f5c4A782D12c83fB0Ab7960EF8,-7.546691875807948e-06,2.250215043033931e-05,8.08838189440024e-05,0.0,3.0,0.0
0x0023aF4Dd82F07b02cC846e4B6008092e1914faa,-1.0519828873297921e-05,4.56675357252082e-05,5.66037475173487e-05,3.229974160206718e-05,3.0,0.0
0x002B4b2bC7428D014aF0893B8F6691544764ac6e,-0.00013103716308480914,0.00027797179981414825,0.0002288554862292809,3.229974160206718e-05,2.0,0.0
0x002EfB68C358689E37Af7E1A03C90bBD26b94C87,-0.00012920780973875806,0.0020267297583875066,0.001555588542331864,9.689922480620155e-05,8.0,0.0
0x002a53f48a06038bB8D20B75100bB3c2862FA472,-9.059987523264482e-06,4.5446981085034574e-05,6.654130347989699e-05,0.0,3.0,1.0
0x00305044fbB4784222d81Bc58329c7c42f083701,-0.0004224666756542219,0.0012543586243481373,0.000932298703331193,9.689922480620155e-05,8.0,0.0
0x00324C4D0659357273810Eeb89B9Af0BaEf41d62,-4.703222626246513e-05,0.0001885860916496853,0.0001341162059607781,3.229974160206718e-05,5.0,0.0
0x00329bf710d92fb45912793FCe71CD954E0F5230,-3.8903970100953646e-05,0.00014218942727319234,0.00014902648881423634,3.229974160206718e-05,5.0,0.0
0x0033003c9fA1Ab095F5387dAfB6F2385a0C7647b,-4.91550483363849e-05,0.00015077809833117237,0.00013403006791672461,3.229974160206718e-05,5.0,0.0
0x00330212935652b4cE6fF24045B66ad64f91fEd2,-4.402327933942005e-06,1.8677495610584125e-05,4.14348390493843e-05,0.0,2.0,0.0
0x003349A3f672903fe587959c1668f2BDEef95CDa,-2.274092067879744e-05,4.8240777667209165e-05,6.233923626575445e-05,0.0,2.0,0.0
